,precision,recall,f1-score,support
COVID,0.5934959349593496,0.9733333333333334,0.7373737373737373,150.0
Lung_Opacity,0.8679245283018868,0.6133333333333333,0.71875,150.0
Normal,0.8444444444444444,0.5066666666666667,0.6333333333333333,150.0
Viral Pneumonia,0.9050632911392406,0.9533333333333334,0.9285714285714286,150.0
accuracy,0.7616666666666667,0.7616666666666667,0.7616666666666667,0.7616666666666667
macro avg,0.8027320497112304,0.7616666666666667,0.7545071248196249,600.0
weighted avg,0.8027320497112304,0.7616666666666667,0.7545071248196248,600.0
