accuracy,loss,val_accuracy,val_loss,learning_rate
0.5362808108329773,1.230286955833435,0.22488188743591309,2.0156233310699463,0.0010000000474974513
0.6125548481941223,0.9665206074714661,0.3540157377719879,3.2202045917510986,0.0010000000474974513
0.6516368389129639,0.8383535146713257,0.254173219203949,3.367929697036743,0.0010000000474974513
0.7012487053871155,0.7168352007865906,0.6173228621482849,0.9373226761817932,0.0010000000474974513
0.7470131516456604,0.6302637457847595,0.1719685047864914,13.575295448303223,0.0010000000474974513
0.7887951135635376,0.5295478105545044,0.3439370095729828,5.390233993530273,0.0010000000474974513
0.8180897831916809,0.4787931442260742,0.8242519497871399,0.5271152853965759,0.0010000000474974513
0.8329395651817322,0.43577131628990173,0.19685038924217224,5.437178134918213,0.0010000000474974513
0.8467094302177429,0.39895421266555786,0.733228325843811,0.7520492672920227,0.0010000000474974513
0.8490718603134155,0.3984350860118866,0.5149606466293335,1.4498100280761719,0.0010000000474974513
0.8821464776992798,0.31329646706581116,0.550551176071167,2.601775884628296,0.00020000000949949026
0.8896389007568359,0.2922416031360626,0.6724409461021423,1.6596781015396118,0.00020000000949949026
